,date,reviews,stars,route,country,year
430,2024-05-31,I sat plane Vienna airport three hours take After arriving London I sent connecting flight told plane already closed I go back terminal I flown Johannesburg Virgin I arrived luggage not taken I received five days later I waiting compensation nine months Never British Airways,1,Vienna to Johannesburg via London,Austria,2024
431,2024-05-30,It almost pm supposed take still sitting plane airport The worst part not technical issue kept us grounded fact offered half glass water entire time board Being hungry dehydrated not helped situation,1,Johannesburg to Heathrow,South Africa,2024
432,2024-05-29,I booked long haul flight Singapore British Airways I thought I could rely provide good reliable service Unfortunately case hence review Knowing I would able fall asleep watching movies TV shows flight entertainment system something I looking forward overnight flight However console work instead I loud screaming toddler seat behind kept kicking seat babies Front Only two hours already hell journey told buy WiFi pass get fully reimbursed I followed several times throughout flight cabin crew assured take note seat number someone customer service contact reimbursement This case After waiting several days I contacted instead reimbursement I use towards nice meal holiday given AVIOs I never want fly give service points I told cabin crew I would refunded reason I even bought WiFi pass not even good enough watch anything connection quality poor What waste flight These hrs life I never get back forever remember I remember BA brand longer Their cabin crew seemed overworked overwhelmed even pressed attention buzzer one came If avoid booking BA go ahead,2,London Heathrow to Singapore,United Kingdom,2024
433,2024-05-26,A premium price sub par product flew BA LHR HKG return May We originally booked aircraft allocated club suites paid seat selection A couple months prior trip aircraft changed layout yin yang seat configuration We allocated middle seats paid select window aisle The hard product poor seat space lacks form storage remains accessible seat flat position nowhere put specs book phone Additionally window seat passenger climb feet another passenger use toilet etc really poor layout The planes legs journey tired shabby The crew outward journey enthusiastic helpful return crew seemed less adept managing service The outbound catering acceptable presentation tiny plates not compare favourably competitors The catering inbound poor The welcome champagne truly awful This poor product premium price sad say pair self funding passengers choose repeat experience The lounge Heathrow outbound sector packed rafters poor experience Very disappointing,3,London Heathrow to Hong Kong,United Kingdom,2024
434,2024-05-20,Really terrible user experience British Airways website full glitches I even choose seat due cookie problems Never problem airlines,3,Boston to London,United States,2024
435,2024-05-18,Very impressed BA Check online little convoluted everything great We flew standard economy paid choose seats seems standard airlines keep initial prices worth could sit together Meals excellent drinks great A simple water biscuit short internal leg still included drink main meal snack hour leg better last trip Emirates They gave double drinks drink service cokes beers partner well pleased Staff friendly bags transfered arrived good condition entertainment route good Will definitely choose BA airlines,9,New York to Manchester via London,United Kingdom,2024
436,2024-05-14,LHR SFO LAS LGW August Club World It shame British Airways experience split mixture fantastic ground cabin crew dated products dreadful service Our flight San Francisco A interior showing age Two seats issues would not recline dividing screen next seat would not stay temperamental recline IFE would not respond controls Crew board great dated aging product top dollar charged upgraded years ago A shame great aircraft Coming back Las Vegas LGW tired We informed check issue seats pre booked paid would need moved Seats moved fine worked The original seats people appeared fine Flight late landing departing due weather conditions Vegas aircraft turned round super quick time impressive Where BA really let flight experience After months got acknowledgement avios credit issues flight SFO We still waiting months later Avios points used pay seat selection refunded Las Vegas London Gatwick leg flight Despite numerous attempts contact got back us Our Avios account page BA load recent transactions not list flights taken last months Won travelling BA long long time dated poorly maintained board products appalling customer service,3,London to San Francisco,United Kingdom,2024
437,2024-05-08,I flew Malaga via LHR Boston th May arrival Boston discovered luggage still London Filed report days later sign luggage The baggage customer service joke Not interested clients giving good service Updates useless I know luggage sitting Boston since th I air tag inside The airline seem intention getting luggage The robots FB messenger twitter useless I opened complaint I checked update complaint case closed despite never contacted human This airline joke I ever get luggage back I doubt I ever fly They worse Air Canada book saying something,2,Malaga to Boston via London,Canada,2024
438,2024-05-08,Milan Miami return via London Worst business class ever The layout A BA crazy The width seats outrageous aisle seats shame BA Length ok JUMP legs another passenger sleeping mode Unbelievable The system dividers reach seats crew absurd awful Never layout Meal average LHR Mia return quite good Unfortunately BA I flew March Qatar Airways business class not comparable Just highlight difference BA row seats QR seats That On top service quite strange mainly due dividers Boarding procedures look well organized beginning boarding become quite messy,1,Milan Linate to Miami via London Heathrow,Italy,2024
439,2024-05-07,BA created new low cost subsidiary BA Euroflyer flights London Gatwick From passenger point view meant mean difference service BA mainline short haul Heathrow However definitely inferior Firstly seats BA promised keep old much comfortable Pinnacle seats row refurbishment planes slimline seats however BA Euroflyer seems whole plane installed planes Despite snagging seat row ended still horrible back breaking seats lumbar support headrests One positive new seats meant seat power charge devices either The onboard service meant include complimentary food drink namely sweet savoury snack small bottle Harrogate Spa water What got horrible Nairn Raisin Oat biscuits without asking like choice water On return flight explicitly announced offered glass water free not offered service The snack sole choice pack McVities Milk Chocolate digestive hardly premium downgrade alternative upmarket offerings received flying Heathrow On way back non refurbished plane pinnacle seats welcome however clearly plane not maintained one toilet water flowing tap irritating soap wash hands going toilet I went rinse hand toilet luckily busy tap working sink draining almost overflowed Lastly cabin crew BA Euroflyer unpolished look miserable extremely demotivated A lot young talking late teens clearly inexperienced not likely stay long conditions offered BA really needs rethink product offering short haul ultimately people choose fly variety reasons invariably reason like us fly low cost rivals want peace mind less stress comfortable So replicating likes Ryanair easyJet Wizz Air alienating customer choose BA avoid kind experience offer We award ticket looking cash tickets not even cheap offer better timings rivals despite bean counting,4,Catania to Gatwick,United Kingdom,2024
440,2024-05-05,I flew British Airways Heathrow Hannover Although check process relatively quick noticeable lack staff another apparent cost cutting measure BA Upon arriving Hannover I found luggage made airport staff assist I file report online The following day I received call saying luggage would arrive later flight help since German shops closed Sundays leaving without essential items As result I confined hotel unable attend planned events I suitable clothing When luggage eventually reached Hannover airport I got call BA informing deliver another day two They advised take taxi pick said I could claim back cost I submitted claim BA refused cover taxi expenses They also declined offer compensation inconvenience caused delayed baggage even though disrupted full day trip Service return flight Frankfurt also par ground crew Frankfurt airport slow rude check BA customer service declined significantly resembling level budget airlines like EasyJet Ryanair premium price Given recent experience I avoid flying BA whenever possible,2,London to Hannover,United Kingdom,2024
441,2024-05-01,Manchester Copenhagen via London th April Aircrafts A A respectively decent condition I arrived Africa transit change terminal T cumbersome tedious Check quick easy professional got desired seats due silver status BA From T I go one worst security checks ever encountered fragmenting almost every item carry ons Their Escape Lounge T quite decent particular beer choices prosecco sparkling wine Food poor neither savoury snacks meaty food Good tarmac view First flight delayed forcing catch nd LHR within hour However I informed clearly gate upon arriving LHR assisting next gate airline managed transfer luggage extremely narrow timeslot Onboard mini bottle water bagged crumbs given fairly useless superfluous No IFE WiFi Annoying charity beggings FAs flights intrusive annoying disrespectful degrades airline Offerings onboard like discount carriers except pricier Arrived final destination time luggage,6,Manchester to Copenhagen via London,Denmark,2024
442,2024-04-30,I never seen disrespect customer It rd time months I unable check website not working properly Lost hours phone customer service team At airport I asked check hand luggage space cabin I could not recline seat staff rude unhelpful The wifi also not working I made multiple complaints one ever even contacted Never using,1,London to Valencia,United Kingdom,2024
443,2024-04-27,Paid hour long flight ticket includes use flight entertainment system Ended seat flight entertainment system malfunctioning could not used Flight attendants sought perform service recovery customer relations team Contacted said team slightly week later offer eVoucher used purchasing additional flight tickets BA Explained I intentions travelling within next two years I use eVoucher sought alternative form compensation instead something could really useful instead Customer Relations simply brushed request unable offer alternate gesture goodwill Compensation British Airways matter goodwill Pay ticket get paid full Compensation one requires spend even money airline disappoint An ultimately self serving inconsiderate undiscerning insincere compensation Which even anything feel guilty remorseful compensation gesture goodwill something deserve view,1,Singapore to London,Singapore,2024
444,2024-04-25,Very inconsiderate PA announcements made purser appearingly decided exchange career BA comedy club acting although not right setting First pre landing PA My colleague I long week British Airways dimming lights want see faces If afraid dark look passenger next Although clearly not purser intent sounded like mocking careless people aero darkness phobias may panic attack joke Very inconsiderate damages BA brand safe accessible trusted airline Second PA landing like make complaint go call EasyJet I felt genuinely insulted joke BA charged abusive fee In end I literally beg rude dismissive ground staff Madrid not check roller bag gate I recently surgery needed hold onto walk Instant noodles I purchased onboard barely edible All cabin crew except one disappeared galley loudly chatting laughing looked nuisance even I wanted pass visit lavatory And chief purser effectively announces anyone unhappy go fly someone else Wake BA You already worse EasyJet Ryanair terms value money I note ones found purser jokes funny cabin crew made vulgar laughs passengers remained dead silent I understand airlines scaling back services cut costs I never understand allow staff openly mock insult passengers I BA Silver member loyal BA customer years A disgrace,1,Madrid to London Heathrow,United Kingdom,2024
445,2024-04-22,Absolutely terrible lost luggage flights delivered days later smashed pieces A lete departure caused miss connecting flight yielding hour delay aircraft oversubscribed dirty unpleasant persistent odour Food genuinely horrible I ex forces I eat almost anything usually,1,Austin to London Heathrow,United Kingdom,2024
446,2024-04-20,We booked premium economy round trip Phoenix Zurich via AA codeshare operated British Airway On way return flight back Phoenix February th first leg BA flight Zurich London Heathrow delayed departure cause us missed BA connection flight Heathrow Phoenix First problem dash terminal security check point PM airplane still gate not depart PM schedule almost min point however terminal security stopped us told not pass thru security due airline requirement later realized flight not leave PM We directed customer service book flight When got BA customer service transfer counter one agent available least passengers waiting lines told BA short staffs due British holiday end February soccer championship match Sunday took us least hour half rebook flight next day also seems not much option want back Phoenix different flight day Then agent booked flight told us printer broken need go Zone terminal get ticket hotel voucher printed We found Zone ticket voucher hand assure agent luggage next day flight us well We also told shuttle bus around corner take us hotel however map detail direction provided took us find shuttle back side terminal time arrived hotel tired Next day arrived airport hours ahead scheduled departed time PM I noticed checked two bags not spot based iPhone Find feature I Apple Air Tag checked bags I checked gate agent confirmed one checked bag associated flight Luckily flight delayed two hours bag made flight While flight team young flight attendants generally pleasant missed service meal I not order special meal popular chicken dish not available came row I told chicken dish ok told give minutes bring different chicken dish however totally forgot came back collect trash I mentioned forgot chicken dish surprised acting like I lying Overall I think premium economy flight BA worst experience recent memory As British flagship carrier seem care I emailed sent experience customer service responded standard corporate reply one email templates,1,Zurich to Phoenix via Heathrow,United States,2024
447,2024-04-12,We chose Rotterdam London City airport convenience small hotel Docklands meant short distance City Airport Three hours departure flight canceled however Disappointing made swift move Amsterdam Schiphol Airport unfortunately offered flight Heathrow meant almost hours tube hotel Flight back operated LCY RTM mins delay terms punctuality BA not reliant The flights okay snack drink The E far comfortable seating legroom A Our extra expenses cancelled flight handled promptly got money extra transport food back BA good job respect But hesitant book though airline flying RTM LCY,6,Rotterdam to London City,Netherlands,2024
448,2024-04-10,The entire booking ticketing experience stressful erroneous I booked directly BA I thought go airline home headquarters UK I need go UK Mistake This months ago I could not cancel change flight without paying cancel flight money sitting year account otherwise lost minus hundred taxes As I really flying American Airlines another partner I check without redirected Then sites recognize I appear AA Aer Lingus applications I ask time change planes London despite reviews saying long hard would mean cancel plane ticket loss money I phone agents hour different calls Their app not let without time reset passcode minute wait email I get error,1,Kansas City to Dublin via Heathrow,United States,2024
449,2024-04-10,British Airways cancelled flight less hours Automatically rebooked days later I called customer service times trying change would Not help My daughter flying different reservation I legally blind I needed flight care would help We eventually bought new tickets easyJet When arrive home I entered complaint get fare refunded It took months response cancelled strike Spain refund EasyJet cancel The whole experience awful disappointing,1,Tenerife to London,United States,2024
450,2024-04-07,I wanted write review I could give huge thank one staff Lisbon named Jay Ramphul She went beyond really helped urgent situation I boarded flight minutes take I realized I left cell phone club lounge I not going get permission deboard get back time take Jay stepped made happened She literally ran far distance retrieve phone get back plane within minutes take This true service I know review ever get back management I hope I want express gratitude help kindness matter,10,Lisbon to San Diego,United States,2024
451,2024-04-03,Check fast friendly Security breeze Lounge busy early evening comfortable clean Flight attendants welcoming Seat nightmare reverse forward step window seat hell thought good idea Meal OK curry based like curry I flight India FA brilliant flyer awake overnight flight Improving since last BA flight,7,London Heathrow to Mumbai,United Kingdom,2024
452,2024-04-02,This first time I seen new Club World suite The seat comfortable unlike airlines BA crammed many seats business class humanly possible cabin felt cramped The crew behaved though passengers grateful turning shift They looked scruffy new uniforms clearly dress code policy scrapped I appreciate appearance measure service quality UK alone service appalling The menu lacked choice food presented fell floor scooped back onto plate The bedding atrocious old scraggly blanket I fitting seat cover I cold asked extra blanket never arrived There drinks coasters obviously cutbacks drinks kept spilling I decided clean crew bothered pick fact I using bathroom hand towels act drinks coasters mop mess The aircraft old although retrofitted leak galley wall lots blue roll situ mop mess Not premium service felt like low cost carrier business,3,Doha to London Heathrow,United Kingdom,2024
453,2024-04-02,Flew business class Doha London st March The service slow unfriendly even one male cabin crew working business class asked female cabin crew looking area I smile I ordered waffles breakfast looked like fallen plate thrown back see photo The plate waffles served hot I moved plate I burnt finger I warned ferociously hot I shocked bad food presentation feel comfortable saying anything cabin crew approachable friendly For lunch bread roll dry rock hard I cut ends Not sure food service bad flight generally BA food good well presented Also Wi Fi working flight,4,Doha to London Heathrow,United Kingdom,2024
454,2024-03-28,Starting Heathrow Terminal Check fairly easy fast track security terrible The area currently refurbishment two scanning machines fast track area time one use queue long slow moving I heard mixed things BA club lounge I fairly impressed Food options fairly varied tasted really nice Nice salads well pie veg Drinks always BA lounges easy lay hands cater wants Lounge decent size various seating options busy time I went Sunday evening Boarding well organised club passengers higher tiers boarded quickly easily Amenity kit bottle water bedding waiting seat Welcome drinks provided fairly quickly sitting Hot towel provided take shortly followed drink nuts As regularly said nuts would infinitely better served properly not small packet Food service board consisted main dinner service served hrs take breakfast meal landing Both meals genuinely delicious All meats tender juicy perfectly cooked Drinks provided whenever asked although crew busy serving passengers proactively offer top ups Breakfast offered passengers woke meant people ate wanted rather order almost not quite like la carte dining Crew friendly efficient nice personality coming This fairly standard experience BA In flight entertainment excellent Good screen quality Responsive touch screen Excellent selection I not use WiFi however available aircraft prices reasonable I think The seat generally comfortable storage compartments convenient spacious enough The crew aisle side plane forgot unlock doors people work periodically request crew Whilst never complain fully flat bed reverse herringbone layout make footwell bit cramped also means lot comfortable lie one side rather facing away door I manage hours sleep though not bad Overall really lovely flight absolutely holding decent business class product service,8,London Heathrow to São Paulo,United Kingdom,2024
455,2024-03-28,We flown route EasyJet regularly twenty years age boarding Nice become chaotic wearing l decided pay significant extra amount see BA better The outward flight Heathrow not great acceptable l attempted checkin return l discovered not booking At time l booked l recovering serious illness assumed l must made mistake After considerable panic l booked last minute flights considerable cost EasyJet boarding usual shambles Flying Gatwick rather Heathrow way get home taxi rather bus fare Heathrow On arrival home l discovered I email confirmation return flight BA immediately contacted complain ask financial compensation In two weeks since sent two apologies slow response nothing else far We elderly friends say find travelling British Airways stressful not travel outside UK This help environment seems remarkable airline industry UK deteriorated extent Unfortunately JAL Singapore l used happily many years not fly within Europe,1,London Heathrow to Nice,United Kingdom,2024
456,2024-03-26,A last minute business trip HND route I regularly fly Overall good experience In new club world offering personally I like find plenty room although say little tight I arrived LHR plenty time used first class wing I eligible due exec club status Great see security lane reopen efficient due new need empty bag scanners Additionally first class lounge not busy usual nice experience Boarding gate A bus probably least enjoyable part journey It not uncommon flight use A baffles large number passengers need take not scenic journey past A gates B gates finally C gates arriving aircraft Even passing empty airbridge gates route Boarding not well organised real announcements They started checking peoples bags pre boarding announcement confused people thought general boarding started moving forward Group opened I got front queue Group began boarding separate line many people waiting board buss not enough room Once onboard aircraft clean I like IFE offering new club world Unfortunately I find crew particularly welcoming engaging I know lot passengers long flight not much smiling customer service At one point I walk galley toilet return crew members talking one particular blocking way looking proceeded continue offer et past eventually inflight manager moved one side I pass On another occasion I went request drink effectively scowled look felt like want disturbing Other points generally good flight time arrival HND,8,London to Tokyo,United Kingdom,2024
457,2024-03-26,Overall I would say disappointing Due BA status I lounge access small side busy The aircraft used remote gate boarding not well organised group status I manage make way onto first bus On arrival aircraft plane still prepared wait bus After minutes everyone becoming little irritable As turns inbound flight number complex wheelchair passengers needed assistance delayed took long amount time arrive After minutes waiting bus finally boarded aircraft The Captain apologised delay mention crew Seat standard Euro Traveller service okay crew not particularly engaging When I tried order coffee due seatbelt sign result minor turbulence I told possible As crew member reached two rows behind seatbelt sign turned come back ask I would still like coffee Overall arrived LHR hour late No tug move aircraft Lisbon wait gate LHR Disappointing not worst flight I,5,Lisbon to London,United Kingdom,2024
458,2024-03-25,LHR Delhi Business Exceptional flight Stylish quirky B Gates lounge interesting modern eclectic food plus Whispering Angel bar Food board delicious well presented Friendly fun relaxed crew blend deference self deprecation familiarity Been flying BA years various classes probably best Great job BA,10,London to Delhi,United Kingdom,2024
459,2024-03-25,Efficient Smooth flight start finish Cabin crew attentive bubbly Very clean aircraft Mcvities snacks nice touch even coffee bag unexpectedly nice Everything praise nothing complain,9,London to Milan,United Kingdom,2024
460,2024-03-25,Was told not take hand luggage onto plane overhead cabins already full So put hold aircraft door Frustrating hand luggage avoid delays Heathrow Then bags not arrive baggage belt mins waiting spend another mins filling forms etc Was told bags still Madrid know time not decency inform us waited arrive hours later communication BA Such terrible unnecessary experience badly handled BA There many people bags big hand luggage hence cabins full everyone boarded unfair not helping informing us fact not leave Madrid double level incompetence,3,Madrid to London Heathrow,United Kingdom,2024
461,2024-03-21,The flight comfortable enough hour delay return leg However leg I told I put small expensive cabin case hold flight full Having done I not amused see passengers bringing much larger cases cabin BA stick cabin bag size limit not inconvenience comply,8,London Heathrow to Toulouse,United Kingdom,2024
462,2024-03-21,We really good flying experience BA travelling young family The flights left time even arrived early nearly one flights Food generous quite tasty Economy class crew coming around water drinks throughout flights Our checked luggage also arrived safely undamaged VCE return flight YUL On flights crew attentive friendly helpful us children especially gentlemen served us return flights VCE YUL March th The B interior really dated really needs updated compete European counterparts There panels squeaking loudly hit turbulence seat covers coming seats tray tables not level loose eating The IFE B worked fine definitely responsive not newer larger screen like ones B Thankfully B interior updated one flew clogged sink one lavatories created problems passengers Unfortunately nearly flights garbage left seat pockets floors quite clean On incoming flight LHR B not assigned gate arrived early airport resulted significant delays airport buses get plane also slowed deplaning process We would definitely consider flying trans Atlantic BA received value service fare paid,8,Montreal to Venice via London Heathrow,Canada,2024
463,2024-03-19,Waited hour check Paphos business check Staff utterly incompetent Flight crew business class removed ruck sack flight bins without consent make way another customer luggage I coerced luggage feet throughout flight Utterly outrageous last thing would expect BA business class,3,Paphos to London,United Kingdom,2024
464,2024-03-19,Not great experience outset poorly managed bused us parking slot us wait minutes bus plane ready BA business class not Business class Tired small generally not worth ticket price Tables sit straight arm rests secure terrible screens It not patch first class airlines apparently BA think They long way go,3,London to Houston,Singapore,2024
465,2024-03-14,Boarding difficult caused vast majority passengers carrying much hand luggage FA friendly The seats BA European flights extremely narrow There choice breakfast surprising Champagne Castelau European flights better quality brand used club intercontinental flight Nothing wrong flight however not pleasant due unpleasant seats Waiting time Brussels luggage minutes acceptable,7,London Heathrow to Brussels,Belgium,2024
466,2024-03-14,Boarding started delay minutes everybody could see members team arrive en minutes announced boarding time We wait outside nearly minutes It hot Unfortunately flying Barbados London Club Class underwhelming experience BA not performing great performance international flights anymore Lucky new configuration As welcome aboard Champagne fruit juice glasses filled level one inch A far cheaper brand Champagne Heidsieck Monopole ros Champagne available Wines also poor French wine Cognac also not available anymore My meal sub par steak replaced beef stew FA made clear dessert cheese not After hours flight ice available Minimal information flight deck breakfast not suitable business class Some FA friendly others not Far pleasant experience despite high fares,3,Barbados to London heathrow,Belgium,2024
467,2024-03-12,Absolutely horrible customer service never fly We left Toronto London missed connecting flight London Mumbai book different airline pay costs They cancelled return flight weeks later Mumbai Toronto without notifying us We happened find tried check day We stuck Mumbai small kids return flights First last time flying,1,Toronto to Mumbai via London,Canada,2024
468,2024-03-11,BA not used As much I like onboard crew check staff lacked interest job safety At point make eye contact ask Security questions counters opened minutes late Crew CPH wonderful announcements loud many maybe I grumpy Took less get LHR self service transfer LGW breeze Crew POS sector OK aisle Seat bumped cabin crew booty continuously hours Not fault could never relax fully One Caribbean Crew excelled joined Carnival spirit passengers feeling onboard I wonder BA management ever tasted food onboard Absolutely tasteless worst I saved choosing BA KLM reason I chose Them KLM definitely league BA many aspects need change airports,7,Copenhagen to Port of Spain via London,Denmark,2024
469,2024-03-10,BA First not even best business class sky Cabin long tooth Service extremely inattentive lackadaisical Been waiting hour offered dinner drinks dessert Nothing Just awful value money,1,Los Angeles to London,United Kingdom,2024
470,2024-03-05,The worst business class experience Ground crew Singapore friendly I ended switching lounges BA QF The aircraft late hour The cabin crew business class unfriendliest crew I experienced No one smiled not welcomed board No body checking though flight wanted anything I found seat sat waited someone offer refreshment Nobody came A stewardess approached passenger sitting infront offer refreshment said looked made eye contact looked walked straight past Observing passenger crew not assist ladies struggling put carry luggage overhead During entire flight staff felt like hated flight not want work When disembarking walked past crew not one saying goodbye thank passengers The food I average I cocktail OK The wine selection average,3,Singapore to Sydney,Australia,2024
471,2024-03-04,Quite possibly worst business class I ever flown It barely rates premium economy BA suggesting offering premium seating regional routes Europe On routes BA crammed seats close together experience like flying discount airline Buyer beware point upgrading business class ensuring middle seat empty bag board first The seats extremely uncomfortable really reclined There flight entertainment not even app many discount airlines use regional flights Once upon time BA used good airline maybe still long haul truly awful short haul five hour flight actually short haul Might well save money book cheaper airline Staff courteous professional issue quality product price,1,Cyprus to London,Canada,2024
472,2024-03-04,I never flying BA This first last I flying Singapore transit Sydney Auckland destination Firstly hour delay flight Singapore That fine I received email advance could head slightly later I confirmed staff Singapore I make fine connecting flight since hour delay vs hours transit I arrived Sydney flight fine BA staff decent I knew close boarding time I rushed checks get international transit flight We ushered downstairs catch shuttle bus After queuing long time scanned boarding pass said I taken flight I not notified prior find transfer desk request book connecting flight I rushed quickly I could waste time The lady Qantas rep told I needed speak Menzies rep matter She gave instructions find Menzies rep I rushed boarding gate Asiana flight speak Menzies rep busy boarding passengers So I waited side passengers board told head another transfer desk book connecting flight There disgruntled passengers I arrived The next available flight night This meant I arrived Sydney wait close hours get next flight As I not Aussie visa not need one per booked flights I not granted day stay given meal voucher sent hunt good place rest sleep nap Many cafes restaurants rejected meal voucher way I finally got food Ultimately booked flight delayed another mins The stress anxiety fatigue hassle caused BA poor booking system I filed formal complaint request compensation waiting hear back,1,Singapore to Auckland via Sydney,Singapore,2024
473,2024-03-04,On trip Mexico City I opportunity experience BA long haul business class first time extremely underwhelming First boarding flight Mexico city done buses Every inch bus filled passengers even breath The Club World experience not personalised make feel special The flight crew giving welcome drinks giving free food food bank I offered non alcoholic choice due sitting last row business class cabin The rude serving attitude happened flight attendant serving ice cream mid flight way He literally threw ice cream head I middle seat covered sides makes flight attendants hard reach The striking issue cabin state seats They old style yin yang seats looked pretty old storage space functionalities working struggle My entertainment screen not working well quite unstable When flight attendants playing security way neither seats area playing safety video flight attendants demonstrate security instructions manually On way crew opened screen security demonstration kept closing When I asked way keep screen open flight attendant joked saying I tell pilot fly angle screen pulled stay open I found attitude unacceptable The screens old bad quality I quite underwhelmed food provided board They looked great menu card quite bad served I would not recommend BA business class product based experience,3,London Heathrow to Mexico City,United Kingdom,2024
474,2024-03-02,I upgraded check Club Europe seat D excellent experience BA The check airport quick smooth friendly staff Once fast track I headed Galleries lounge LHR T exceeded expectations The food really good I superb view runway The flight great Some people remarked legroom good even Club Europe I found fine hour flight Afternoon tea delicious Cabin crew excellent I airport minutes landing BA superb job flight,10,Heathrow to Oslo,United Kingdom,2024
475,2024-03-01,I bought return trip BA Webjet Australia last year I would fly Sydney Porto middle June problem But I return earlier Australia So I requested change dates March January I point BA partners changed details return flight many times That not problem The problem although I flexible dates refused fly back I buy ticket another company travel Australia Later I asked change return date January next year Again turned I keep mind negative experience BA booking future trips,1,Sydney to Porto via Singapore / London,Australia,2024
476,2024-02-29,Poor start finish Six months purchasing tickets I added extra bag exorbitant cost transaction failed make system I rang BA customer services cut without reply At LHR manager summoned verify printed receipt payment I assured would problem return trip Wrong Same experience LIS On board hour delay late discovery technical fault Old plane uncomfortable seat minimal legroom Soggy cookie small bottle water offered free Return trip even uncomfortable seat made worse extra recline passenger front enjoyed due knackered seat Once upon time BA stood something No longer Next time TAP much newer planes,3,London Heathrow to Lisbon,United Kingdom,2024
477,2024-02-29,Communication customer service non existent make pay seat return flight Madrid London ticket premium economy On time check able BA MAD not MAD LHR Madrid issued boarding pass changed seat F F worst seat ever explained rudeness Madrid plane changed That section Business premium send back apologies answer complaints low cost airlines treat better refund seat received zero apologies,2,Madrid to London via Buenos Aires,United Kingdom,2024
478,2024-02-23,That supposed flight cancelled hours takeoff After nearly months BA finally responded compensation claim confirming I due statutory compensation Another months later still not received despite chasing According BA bank must lost payment apparently problem From experience great airline customer service better worst low cost carriers,1,Pisa to London Heathrow,United Kingdom,2024
479,2024-02-21,Have fear BA flight operated Finnair The business class seats offer leg room BA offering service could not better Food BA good Excellent flight arriving much ahead schedule delay disembarking one available LHR pilot bridge,10,Malaga to London Heathrow,United Kingdom,2024
480,2024-02-17,We flown BA five times western USA England Always decent service Never If problem website impossible navigate It terrible takes endless repeating circles loops never lead resolutions They lost suitcase We spent hours upon arrival Lisbon trying navigate website It frustrating fruitless Three days trip still waiting clothing toiletries electronics Can talk real person No It impossible We even quit thinking spent secure seats Economy turned extra legroom We paid extra nothing We done BA Whoops not quite We still get home,3,Phoenix to Lisbon via London,United States,2024
481,2024-02-17,London Heathrow Istanbul start half term school holidays flight busy indeed Boarding quite well managed neatly presented pleasant gate agents one went way assist elderly passenger mobility issues I felt singled member BA crew insisted small bag taken checked Other passengers large bags not stopped taking onto flight During flight I felt staff member unprofessional towards I aisle seat spoke length couple sitting next country origin I may well invisible The member cabin crew disappeared returned selection drinks snacks Business class compatriots He managed spill liquid not even acknowledge The A clean IFE not even route map follow journey It rather clinical flight exceptionally basic I received small bottle water two broken digestive biscuits The wifi not work ridiculous skyshop not accessible either I asked coffee cabin crew member kissed teeth Is low BA fallen I also noted tension member cabin crew colleagues This not good enough Disembarkation remarkably orderly civilized captain made effort engage passengers flight sensible updates,3,London to Istanbul,United Kingdom,2024
482,2024-02-16,Jan th I booked last minute transatlantic flight Ireland attend funeral close friend mine So nature trip bad enough It not vacation On transatlantic leg flight BA airline It terrible experience A baby crying right next good portion flight That not BA fault continue set stage Mid flight close bathrooms middle plane I seat J right behind one bathrooms They started leaking sewage passenger compartment I could see water coming toward soon feet As imagine smell great It made bad trip worse got new pair boots I contacted BA explained great detail happened Their response essentially Sorry I contacted verify formal response They responded offering euro voucher use future BA flight little value I contacted giving another chance make right Nothing It not fault screaming baby fault restrooms overflowed created disgusting mess soiled boots It fault made effort make right This not inconvenience It health safety issue As far I tell I one got sewage feet I think completely unacceptable everything I avoid flying BA future,2,"Austin, TX to Shannon, Ireland via Austin",United States,2024
483,2024-02-11,I British Airways Gold Guest List member Lifetime privileges In spite I given Britsh wherever possible I take ten trans ocean trips year I fortunate able fly First Class unfortunately British longer First Class product sell one name First Class prices fairness deliver would consider good Business Class experience I point airlines sell Business Class fact better British First Class experience Qatar Emirates I flown many millions miles British Last week I completed around world trip Emirates Qantas A In millions BA miles I never experience good I experience EK Qantas A long time ago food beverage service BA truly extraordinary today would bit stretch even call ordinary sad decline Seat comfort First lounges food beverage need serious rework If First Class traveler British not option Sad truly sad,5,London to San Francisco,United States,2024
484,2024-02-08,Another case reviewing British Airways flights not actually provided I booked several months ago London Casablanca via Madrid Madrid Casablanca leg Iberia returning Marrakech direct BA First Marrakech flight cancelled I rebook Royal Air Maroc Now BA changed London Madrid leg operated Iberia So instead booking ba com legs operated BA I none BA flights not transfer paid seat selection London Madrid I got arrange refund payment What point airline offering service taking money service decide later not bothered provide paid good faith Only giving I not mark zero reflect zero service received,1,London Heathrow to Casablanca,United Kingdom,2024
